,Table name,Variable name,Label,Description,Data type,Length,Clinical relevance for PrEP
15,SA152,SA152_VSID,Einjähriges Pseudonym,Versicherten-ID zum Ausgleichjahr bzw. Berichtjahr (Pseudonym). Dient zur Verknüpfung zwischen Tabellen innerhalb eines Berichtsjahres.,numerisch,9,
16,SA152,SA152_PSID,Überjähriges Pseudonym,Überjährige Versicherten-ID (Pseudonym) zur Verknüpfung gleicher Personen zwischen Tabellen (ein- und überjährig).,VarBinary(32); alt: CHAR(19),32,
17,SA152,SA152_KV_NR_KENNZEICHEN,Krankenversicherungsnummer (KV),bundeseinheitliche KV-Nr lag vor = 1; sonst = 0,numerisch,1,
18,SA152,SA152_ERWERBSMINDERUNGS_VT,Erwerbsminderungsversichertentage,Erwerbsminderungsrente Versichertentage im Berichtsjahr,numerisch,3,
19,SA152,SA152_VERSICHERTENTAGEAUSLAND,Versichertentage Ausland,Versichertentage mit Wohnsitz oder gewöhnlichem Aufenthalt im Ausland gemäß§ 30 Abs. 1 Nr.8 RSAV,numerisch,3,
20,SA152,SA152_VERSICHERTENTAGE13II,Versichertentage mit Kostenerstattung,Versichertentage mit Kostenerstattung nach § 13 Abs. 2 SGB V im Bereich der vertragsärztlichen Versorgung gem. § 30 Abs. 1 Nr. 9 RSAV,numerisch,3,
21,SA152,SA152_VERSICHERTENTAGE53IV,Versichertentage mit Kostenerstattung,Versichertentage mit Kostenerstattung nach § 53 Abs. 4 SGB V,numerisch,3,
23,SA153,SA153_SATZART,Satzart,konstant 153,numerisch,3,
24,SA153,SA153_AUSGLEICHSJAHR,Ausgleichsjahr,JJJJ,numerisch,4,
25,SA153,SA153_BERICHTSJAHR,Berichtsjahr,JJJJ,numerisch,4,
26,SA153,SA153_VSID,Einjähriges Pseudonym,Versicherten-ID zum Ausgleichjahr bzw. Berichtjahr (Pseudonym). Dient zur Verknüpfung zwischen Tabellen innerhalb eines Berichtsjahres.,numerisch,9,
27,SA153,SA153_PSID,Überjähriges Pseudonym,Überjährige Versicherten-ID (Pseudonym) zur Verknüpfung gleicher Personen zwischen Tabellen (ein- und überjährig).,VarBinary(32); alt: CHAR(19),32,
28,SA153,SA153_KV_NR_KENNZEICHEN,Krankenversicherungsnummer (KV),bundeseinheitliche KV-Nr. lag vor = 1;sonst = 0,numerisch,1,
29,SA153,SA153_EXTRABLUTREINIGUNG,Extrakorporale Blutreinigung,1 = mindestens eine extrakorporale Blutreinigung erbracht 0 = sonst,numerisch,1,
31,SA451,SA451_SATZART,Satzart,konstant 451,numerisch,3,
32,SA451,SA451_AUSGLEICHSJAHR,Ausgleichsjahr,JJJJ,numerisch,4,
33,SA451,SA451_BERICHTSJAHR,Berichtsjahr,JJJJ,numerisch,4,
34,SA451,SA451_VSID,Einjähriges Pseudonym,Versicherten-ID zum Ausgleichjahr bzw. Berichtjahr (Pseudonym). Dient zur Verknüpfung zwischen Tabellen innerhalb eines Berichtsjahres.,numerisch,9,
35,SA451,SA451_PSID,Überjähriges Pseudonym,Überjährige Versicherten-ID (Pseudonym) zur Verknüpfung gleicher Personen zwischen Tabellen (ein- und überjährig).,VarBinary(32); alt: CHAR(19),32,
36,SA451,SA451_VERORDNUNGSDATUM,Verordnungsdatum,JJJJMMTT,numerisch,8,
37,SA451,SA451_PHARMAZENTRALNUMMER,Pharmazentralnummer,Kennzeichen nach §300 Abs. 3 SGB V,numerisch,8,
38,SA451,SA451_ANZAHLEINHEITENFAKTOR,Anzahleinheitenfaktor,Angabe in Promille,numerisch,9,
40,SA551,SA551_SATZART,Satzart,konstant 551,numerisch,3,
41,SA551,SA551_AUSGLEICHSJAHR,Ausgleichsjahr,JJJJ,numerisch,4,
42,SA551,SA551_BERICHTSJAHR,Berichtsjahr,JJJJ,numerisch,4,
43,SA551,SA551_VSID,Einjähriges Pseudonym,Versicherten-ID zum Ausgleichjahr bzw. Berichtjahr (Pseudonym). Dient zur Verknüpfung zwischen Tabellen innerhalb eines Berichtsjahres.,numerisch,9,
44,SA551,SA551_PSID,Überjähriges Pseudonym,Überjährige Versicherten-ID (Pseudonym) zur Verknüpfung gleicher Personen zwischen Tabellen (ein- und überjährig).,VarBinary(32); alt: CHAR(19),32,
45,SA551,SA551_ENTLASSUNGSMONAT,Entlassungsmonat,JJJJMM,numerisch,6,
46,SA551,SA551_FALLZAEHLER,Fallzähler,,numerisch,2,
47,SA551,SA551_ICD_CODE,stationäre Diagnose,ICD 10 GM Code ohne Punktnotation und Sonderzeichen,Varchar2,7,
48,SA551,SA551_ICD_ZUSATZ,stationäre Diagnose Sonderzeichen,ICD Sonderzeichen,Char,1,
49,SA551,SA551_LOKALISATION,Lokalisation,1 = beidseitig | 0 = sonst,numerisch,1,
50,SA551,SA551_ARTDIAGNOSE,Art der Diagnose,1 = Hauptdiagnose |2 = Nebendiagnose,numerisch,1,
51,SA551,SA551_ARTBEHANDLUNG,Art der Behandlung,1 = vollstationär | 2 = teilstationär | 3 = ambulante OP im KH | 0 = sonst (vor-und nachstationär),numerisch,1,
53,SA651,SA651_SATZART,Satzart,konstant 651,numerisch,3,
54,SA651,SA651_AUSGLEICHSJAHR,Ausgleichsjahr,JJJJ,numerisch,4,
55,SA651,SA651_BERICHTSJAHR,Berichtsjahr,JJJJ,numerisch,4,
56,SA651,SA651_VSID,Einjähriges Pseudonym,Versicherten-ID zum Ausgleichjahr bzw. Berichtjahr (Pseudonym). Dient zur Verknüpfung zwischen Tabellen innerhalb eines Berichtsjahres.,numerisch,4,
57,SA651,SA651_PSID,Überjähriges Pseudonym,Überjährige Versicherten-ID (Pseudonym) zur Verknüpfung gleicher Personen zwischen Tabellen (ein- und überjährig).,VarBinary(32); alt: CHAR(19),32,
58,SA651,SA651_LEISTUNGSQUARTAL,Leistungsquartal,Quartal 1 bis 4,numerisch,1,
59,SA651,SA651_ICD_CODE,ambulante Diagnose,ICD 10 GM Code ohne Punktnotation und Sonderzeichen,Varchar2,7,
60,SA651,SA651_ICD_ZUSATZ,ambulante Diagnose Sonderzeichen,ICD Sonderzeichen,Char,1,
61,SA651,SA651_QUALIFIZIERUNG,Qualifizierung,V = Verdachtsdiagnose | Z = Zustand nach betreffender Diagnose | A = ausgeschlossene Diagnose | G = gesicherte Diagnose | 0 = sonst,Char,1,
62,SA651,SA651_LOKALISATION,Lokalisation,1 = beidseitige | 0 = sonst,numerisch,1,
63,SA651,SA651_ABRECHNUNGSWEG,Abrechnungsweg,Diagnose gemäß § 295 Abs.1 SGB 5: 1 = Diagnose gem. § 295 SGB V | 2 = Diagnose aus ambulanter Behandlung im Krankenhaus | 3 = sonstiges,numerisch,1,
65,SA751,SA751_SATZART,Satzart,konstant 751,numerisch,3,
66,SA751,SA751_AUSGLEICHSJAHR,Ausgleichsjahr,JJJJ,numerisch,4,
67,SA751,SA751_BERICHTSJAHR,Berichtsjahr,JJJJ,numerisch,4,
68,SA751,SA751_VSID,Einjähriges Pseudonym,Versicherten-ID zum Ausgleichjahr bzw. Berichtjahr (Pseudonym). Dient zur Verknüpfung zwischen Tabellen innerhalb eines Berichtsjahres.,numerisch,9,
69,SA751,SA751_PSID,Überjähriges Pseudonym,Überjährige Versicherten-ID (Pseudonym) zur Verknüpfung gleicher Personen zwischen Tabellen (ein- und überjährig).,VarBinary(32); alt: CHAR(19),32,
70,SA751,SA751_AERZTE,Jährliche Leistungsausgaben Ärzte,Ausgaben auf Eurobeträge gerundet,numerisch,14,
71,SA751,SA751_ZAHNAERZTE,Jährliche Leistungsausgaben Zahnärzte,Ausgaben auf Eurobeträge gerundet,numerisch,14,
72,SA751,SA751_APOTHEKEN,Jährliche Leistungsausgaben Apotheken,Ausgaben auf Eurobeträge gerundet,numerisch,14,
73,SA751,SA751_KRANKENHAEUSER,Jährliche Leistungsausgaben Krankhäuser,Ausgaben auf Eurobeträge gerundet,numerisch,14,
74,SA751,SA751_SONSTIGELA,Sonstige jährliche Leistungsausgaben (LINK),Ausgaben auf Eurobeträge gerundet,numerisch,14,
75,SA751,SA751_SACHKOSTENDIALYSE,Jährliche Kosten Sachkostendialyse,Ausgaben auf Eurobeträge gerundet,numerisch,14,
76,SA751,SA751_KRANKENGELD,Jährliches Krankengeld,Ausgaben auf Eurobeträge gerundet,numerisch,14,
78,SA951,SA951_AUSGLEICHSJAHR,Ausgleichsjahr,JJJJ,numerisch,4,
79,SA951,SA951_VSID,Einjähriges Pseudonym,Versicherten-ID zum Ausgleichjahr bzw. Berichtjahr (Pseudonym). Dient zur Verknüpfung zwischen Tabellen innerhalb eines Berichtsjahres.,numerisch,9,
80,SA951,SA951_PSID,Überjähriges Pseudonym,Überjährige Versicherten-ID (Pseudonym) zur Verknüpfung gleicher Personen zwischen Tabellen (ein- und überjährig).,VarBinary(32); alt: CHAR(19),32,
81,SA951,SA951_BETRIEBSNUMMER,Betriebsnummer,Betriebsnummer der Krankenkasse,numerisch,8,
83,SA999,SA999_SATZART,Satzart,konstant 999,numerisch,3,
84,SA999,SA999_AUSGLEICHSJAHR,Ausgleichsjahr,JJJJ,numerisch,4,
85,SA999,SA999_BERICHTSJAHR,Berichtsjahr,JJJJ,numerisch,4,
86,SA999,SA999_GS,Amtlicher Gemeindeschlüssel,,numerisch,5,
87,SA999,SA999_PSID,Überjähriges Pseudonym,Überjährige Versicherten-ID (Pseudonym) zur Verknüpfung gleicher Personen zwischen Tabellen (ein- und überjährig).,VarBinary(32); alt: CHAR(19),32,
88,SA999,SA999_GS_LAND,"Amtlicher Gemeindeschlüssel, Bundesland","Amtlicher Gemeindeschlüssel, Bundesland",numerisch,2,
89,SA999,SA999_GS_RB,"Amtlicher Gemeindeschlüssel, Regierungsbezirk","Amtlicher Gemeindeschlüssel, Regierungsbezirk",numerisch,1,
90,SA999,SA999_GS_KREIS,"Amtlicher Gemeindeschlüssel, Kreis","Amtlicher Gemeindeschlüssel, Kreis",numerisch,2,
92,SA131,SA131_SATZART,Satzart,konstant 131,numerisch,3,
93,SA131,SA131_SCHLUESSELJAHR,Schlüsseljahr,Besonderheit:SA131_SCHLUESSELJAHR=-2 Hintergrund:Zeitliche Abläufe im Verfahren zur Bereitstellung der MorbiRSA Daten.,numerisch,4,
94,SA131,SA131_BERICHTSJAHR,Berichtsjahr,Wert SA131_BERICHTSJAHR= AUSGLEICHSJAHR_,numerisch,4,
95,SA131,SA131_PSID,Überjähriges Pseudonym,Überjährige Versicherten-ID (Pseudonym),VarBinary(32); alt: CHAR(19),32,
96,SA131,SA131_VSID,Einjähriges Pseudonym,Versicherten-ID zum Ausgleichsjahr bzw. Berichtjahr (Pseudonym),,,
97,SA131,SA131_PLZ,Postleitzahl,Postleitzahl,numerisch,5,
99,VERS,BJAHR,Berichtsjahr,"Berichtsjahr, zu dem die Lieferung gehört, im Format JJJJ",numerisch,4,
100,VERS,VSID,Einjähriges Pseudonym / Arbeitsnummer des Versicherten,Versicherten-ID zum Berichtjahr (Pseudonym). Dient zur Verknüpfung zwischen Tabellen innerhalb eines Berichtsjahres. Gemäß § 4 Abs. 4 von der Datensammelstelle zum periodenbezogenen Lieferpseudonym erzeugt.,numerisch,9,
101,VERS,PSID,Periodenübergreifendes Pseudonym,Überjährige Versicherten-ID (Pseudonym). Dient zur Verknüpfung zwischen Tabellen (ein- und überjährig).,VarBinary,32,
102,VERS,BNR,Betriebsnummer,Betriebsnummer der Krankenkasse des Versicherten,alphanum.,8,
103,VERS,GEBJAHR,Geburtsjahr,Geburtsjahr des Versicherten. Format JJJJ,numerisch,4,
104,VERS,PLZ,Postleitzahl,Postleitzahl des Wohnortes des Versicherten zum Zeitpunkt des Datenabzugs. Den Zeitpunkt des Datenabzugs bestimmt dabei jede Krankenkasse selbst.,alphanum.,5,
105,VERS,VITALSTATUS,Vitalstatus,Vitalstatus des Versicherten.,numerisch,1,
106,VERS,STERBEDAT,Datum des Sterbetages,"Falls VITALSTATUS = 1, Datum des Sterbetages im Format JJJJMMTT",numerisch,8,
107,VERS,DATENMODELL,,Die Daten sind in Abhängigkeit der Berichtsjahre auf unterschiedliche Datenmodelle aufgeteilt. Nicht alle Daten sind in allen Datenmodellen und für alle Berichtsjahre verfügbar oder haben je nach Datenmodell unterschiedliche Spaltennamen.,numerisch,1,
108,VERSQ,BJAHR,Berichtsjahr,"Berichtsjahr, zu dem die Lieferung gehört, im Format JJJJ",numerisch,4,
109,VERSQ,VSID,Einjähriges Pseudonym / Arbeitsnummer des Versicherten,Versicherten-ID zum Berichtjahr (Pseudonym). Dient zur Verknüpfung zwischen Tabellen innerhalb eines Berichtsjahres. Gemäß § 4 Abs. 4 von der Datensammelstelle zum periodenbezogenen Lieferpseudonym erzeugt.,numerisch,9,
110,VERSQ,PSID,Periodenübergreifendes Pseudonym,Überjährige Versicherten-ID (Pseudonym). Dient zur Verknüpfung zwischen Tabellen (ein- und überjährig).,VarBinary,32,
111,VERSQ,BNR,Betriebsnummer,Betriebsnummer der Krankenkasse des Versicherten,alphanum.,8,
112,VERSQ,VERSQ,Versichertenquartal des Berichtsjahres,Format JJJJQ,numerisch,5,
113,VERSQ,GESCHLECHT,Geschlecht,Geschlecht der versicherten Person. Bei Veränderungen innerhalb des Quartals die jüngste Angabe,numerisch,1,
114,VERSQ,VERSTAGE,Anzahl Versichertentage,Anzahl der Versichertentage im Quartal,numerisch,1..2,
115,VERSQ,VERSTAGEAUSL,Anzahl Versichertentage mit Wohnsitz im Ausland,Anzahl Versichertentage im Quartal mit Wohnsitz im Ausland,numerisch,1..2,
116,VERSQ,VERSSTATUS,Versichertenstatus gemäß KM 1,"Versichertenstatus gemäß KM 1 des Berichtsquartals, bei Änderungen der jeweils letzte Status des Berichtsquartals. Die Davonschlüsselnummern der KM 1 sind hierbei nicht zu berücksichtigen. Kann technisch kein KM 1-Versichertenstatus für das Quartal ermittelt werden, ist die 99999 zu melden.",numerisch,5,
117,VERSQ,VERSTAGEKG,Anzahl Versichertentage mit Krankengeldbezug,Anzahl Versichertentage im Quartal mit Krankengeldbezug gemäß §§ 44 und 45 SGB V,numerisch,1..2,
118,VERSQ,VERSTAGEKOSTERSTWAHLT,Anzahl Versichertentage mit Kostenerstattung oder Wahltarif,Anzahl Versichertentage im Quartal mit Wahl der Kostenerstattung gemäß § 13 Abs. 2 SGB V oder Mitgliedschaft im einem Wahltarif gemäß § 53 Abs. 4 SGB V,numerisch,1..2,
119,VERSQ,DATENMODELL,,Die Daten sind in Abhängigkeit der Berichtsjahre auf unterschiedliche Datenmodelle aufgeteilt. Nicht alle Daten sind in allen Datenmodellen und für alle Berichtsjahre verfügbar oder haben je nach Datenmodell unterschiedliche Spaltennamen.,numerisch,1,
120,VERSQDMP,BJAHR,Berichtsjahr,"Berichtsjahr, zu dem die Lieferung gehört, im Format JJJJ",numerisch,4,
121,VERSQDMP,VSID,Einjähriges Pseudonym / Arbeitsnummer des Versicherten,Versicherten-ID zum Berichtjahr (Pseudonym). Dient zur Verknüpfung zwischen Tabellen innerhalb eines Berichtsjahres. Gemäß § 4 Abs. 4 von der Datensammelstelle zum periodenbezogenen Lieferpseudonym erzeugt.,numerisch,9,
122,VERSQDMP,PSID,Periodenübergreifendes Pseudonym,Überjährige Versicherten-ID (Pseudonym). Dient zur Verknüpfung zwischen Tabellen (ein- und überjährig).,VarBinary,32,
123,VERSQDMP,VERSQ,Versichertenquartal des Berichtsjahres,Format JJJJQ,numerisch,5,
124,VERSQDMP,DMPPROG,Programmkennziffer des Disease-Management-Programms,"Programmkennziffer des Disease-Management-Programms, sofern versicherte Person im Quartal daran teilgenommen hat.",alphanum.,2,
125,VERSQDMP,DMPTAGE,Anzahl DMP-Tage,Anzahl der Versichertentage im Quartal mit Teilnahme am strukturierten Behandlungsprogramm gemäß § 137f Abs. 1 SGB V,numerisch,1..2,
126,VERSQDMP,DATENMODELL,,Die Daten sind in Abhängigkeit der Berichtsjahre auf unterschiedliche Datenmodelle aufgeteilt. Nicht alle Daten sind in allen Datenmodellen und für alle Berichtsjahre verfügbar oder haben je nach Datenmodell unterschiedliche Spaltennamen.,numerisch,1,
127,AMBFALL,BJAHR,Berichtsjahr,"Berichtsjahr, zu dem die Lieferung gehört, im Format JJJJ",numerisch,4,
128,AMBFALL,VSID,Einjähriges Pseudonym / Arbeitsnummer des Versicherten,Versicherten-ID zum Berichtjahr (Pseudonym). Dient zur Verknüpfung zwischen Tabellen innerhalb eines Berichtsjahres. Gemäß § 4 Abs. 4 von der Datensammelstelle zum periodenbezogenen Lieferpseudonym erzeugt.,numerisch,9,
129,AMBFALL,PSID,Periodenübergreifendes Pseudonym,Überjährige Versicherten-ID (Pseudonym). Dient zur Verknüpfung zwischen Tabellen (ein- und überjährig).,VarBinary,32,
130,AMBFALL,ABRQ,Abrechnungsquartal,Format JJJJQ,numerisch,5,
131,AMBFALL,FALLIDAMB,Fall-ID des ambulanten Arztfalls,"Technische Fall-ID zur Verknüpfung mit Satzarten AMBDIAG, AMBLEIST und AMBOPS",numerisch,1..11,
132,AMBFALL,SVNR,Vertragsnummer des Selektivvertrags,"Vertragsnummer für Verträge im Rahmen der hausarztzentrierten Versorgung und der integrierten Versorgung. Nur bei selektivvertraglichen Fällen: Vertragsnummer nach § 293a Absatz 1 Satz 4 SGB V. 
 Die Vertragsnummer ist ein elfstelliges, alphanumerisches Kennzeichen mit folgendem Aufbau: 
 01. Stelle: Versionskennzeichen 
 02. + 03. Stelle: Rechtsgrundlage 
 04. + 05. Stelle: Regionalkennzeichen 
 06. - 11. Stelle: Fortlaufende Nummer 
 Bei dem Selektivvertrag handelt es sich um einen Direktvertrag zwischen Krankenkassen und einzelnen Leistungserbringern (z. B. Ärzte, Krankenhäusern) oder einer Gemeinschaft von Leistungserbringern. Siehe auch https://www.bundesgesundheitsministerium.de/service/begriffe-von-a-z/s/selektivvertrag.html",alphanum.,..25,
133,AMBFALL,SVTYP,Vertragstyp,,numerisch,1,
134,AMBFALL,BSNRPSEUDO,Pseudonym der Betriebsstätte des behandelnden Arztes,Pseudonym der Betriebsstätte des behandelnden Arztes.,numerisch,12,
135,AMBFALL,BSNRKV,Regionalkennzeichen der Betriebsstätte des behandelnden Arztes,"KV-Landes- oder Bezirksstellenschlüssel; regionale Zuordnung in Form des Landes- oder Bezirksstellenschlüssels der Kassenärztlichen Vereinigung. 
 Gemäß Anlage 1 der Richtlinie der Kassenärztlichen Bundesvereinigung nach § 75 Absatz 7 SGB V zur Vergabe der Arzt-, Betriebsstätten- sowie der Praxisnetznummern (siehe weiterführende Links).",numerisch,2,
136,AMBFALL,BSNRUEBPSEUDO,Pseudonym der Betriebsstätte des überweisenden Arztes,"Pseudonym der Betriebsstätte des überweisenden Arztes. 
 Die Regionalinformation ist in diesem Pseudonym nicht mehr enthalten, aber dafür wurde eine neue Variable BSNRUEBKV erzeugt, die diese Information enthält.",numerisch,12,
137,AMBFALL,BSNRUEBKV,Regionalkennzeichen der Betriebsstätte des überweisenden Arztes,"KV-Landes- oder Bezirksstellenschlüssel; regionale Zuordnung in Form des Landes- oder Bezirksstellenschlüssels der Kassenärztlichen Vereinigung. 
 Gemäß Anlage 1 der Richtlinie der Kassenärztlichen Bundesvereinigung nach § 75 Absatz 7 SGB V zur Vergabe der Arzt-, Betriebsstätten- sowie der Praxisnetznummern (siehe weiterführende Links).",numerisch,2,
138,AMBFALL,LANRUEBPSEUDO,Pseudonym des überweisenden Arztes,"(periodenübergreifendes) Pseudonym des überweisenden Arztes. 
 Die Regionalinformation ist in diesem Pseudonym nicht mehr enthalten, aber dafür wurde eine neue Variable LANRUEBFG erzeugt, die diese Information enthält.",numerisch,12,
139,AMBFALL,LANRUEBFG,Fachgruppe des überweisenden Arztes,Fachgruppenschlüssel; Facharztbezeichnung gemäß Schlüsselverzeichnis.,numerisch,2,
140,AMBFALL,INANSPRARTAMB,Art der Inanspruchnahme,,alphanum.,1,
141,AMBFALL,UNFALL,Unfallkennzeichen/BVG,,numerisch,1,
142,AMBFALL,BEHANDARTAMB,Behandlungsart,,numerisch,1,
143,AMBFALL,ENTBINDUNGSDAT,Entbindungsdatum,Format JJJJMMTT,numerisch,8,
144,AMBFALL,PUNKTZAHL,Punktzahl,"Die einzelnen ärztlichen Leistungen, etwa Untersuchungen und Behandlungen, sind im Gebührenverzeichnis mit Ziffern angegeben und mit Punkten bewertet.",numerisch,"..12(,1)",
145,AMBFALL,FALLKOAMB,Kosten,In Euro,numerisch,"..12(,2)",
146,AMBFALL,DIALYSESACHKO,Dialysesachkosten,In Euro,numerisch,"..12(,2)",
147,AMBFALL,BEGINNDATAMB,Datum des ersten Behandlungstages,Format JJJJMMTT,numerisch,8,
148,AMBFALL,ENDEDATAMB,Datum des letzten Behandlungstages,Format JJJJMMTT,numerisch,8,
149,AMBFALL,DATENMODELL,,Die Daten sind in Abhängigkeit der Berichtsjahre auf unterschiedliche Datenmodelle aufgeteilt. Nicht alle Daten sind in allen Datenmodellen und für alle Berichtsjahre verfügbar oder haben je nach Datenmodell unterschiedliche Spaltennamen.,numerisch,1,
150,AMBDIAG,BJAHR,Berichtsjahr,"Berichtsjahr, zu dem die Lieferung gehört, im Format JJJJ",numerisch,4,
151,AMBDIAG,VSID,Einjähriges Pseudonym / Arbeitsnummer des Versicherten,Versicherten-ID zum Berichtjahr (Pseudonym). Dient zur Verknüpfung zwischen Tabellen innerhalb eines Berichtsjahres. Gemäß § 4 Abs. 4 von der Datensammelstelle zum periodenbezogenen Lieferpseudonym erzeugt.,numerisch,9,
152,AMBDIAG,PSID,Periodenübergreifendes Pseudonym,Überjährige Versicherten-ID (Pseudonym). Dient zur Verknüpfung zwischen Tabellen (ein- und überjährig).,VarBinary,32,
153,AMBDIAG,FALLIDAMB,Fall-ID des ambulanten Arztfalls,Technische Fall-ID zur Verknüpfung mit Satzart AMBFALL,numerisch,1..11,
154,AMBDIAG,ICDAMB_CODE,ICD 10 GM Code ohne Punktnotation und Sonderzeichen,"ICD 10 GM Code ohne Punktnotation und Sonderzeichen. 
 Im Feld ICDAMB_CODE finden sich die Diagnosen rein alphanumerisch ohne Punkt und ohne Sonderzeichen. Die ICD-Sonderzeichen zum Feld ICDAMB_CODE finden sich im Feld ICDAMB_ZUSATZ. Weitere Hinweise zur Diagnosecodierung sind in den Deutschen Kodierrichtlinien (DKR) aufgeführt.",alphanum.,3-12,
155,AMBDIAG,ICDAMB_ZUSATZ,ICD Sonderzeichen,ICD Sonderzeichen,alphanum.,1..,
156,AMBDIAG,DIAGSICH,Angaben zur Diagnosesicherheit,,alphanum.,1,
157,AMBDIAG,DIAGLOKAL,Angaben zur Diagnoselokalisation,,alphanum.,1,
158,AMBDIAG,DIAGDAT,Diagnosedatum,falls vorhanden; Format JJJJMMDD,numerisch,8,
159,AMBDIAG,DATENMODELL,,Die Daten sind in Abhängigkeit der Berichtsjahre auf unterschiedliche Datenmodelle aufgeteilt. Nicht alle Daten sind in allen Datenmodellen und für alle Berichtsjahre verfügbar oder haben je nach Datenmodell unterschiedliche Spaltennamen.,numerisch,1,
160,AMBLEIST,BJAHR,Berichtsjahr,"Berichtsjahr, zu dem die Lieferung gehört, im Format JJJJ",numerisch,4,
161,AMBLEIST,VSID,Einjähriges Pseudonym / Arbeitsnummer des Versicherten,Versicherten-ID zum Berichtjahr (Pseudonym). Dient zur Verknüpfung zwischen Tabellen innerhalb eines Berichtsjahres. Gemäß § 4 Abs. 4 von der Datensammelstelle zum periodenbezogenen Lieferpseudonym erzeugt.,numerisch,9,
162,AMBLEIST,PSID,Periodenübergreifendes Pseudonym,Überjährige Versicherten-ID (Pseudonym). Dient zur Verknüpfung zwischen Tabellen (ein- und überjährig).,VarBinary,32,
163,AMBLEIST,FALLIDAMB,Fall-ID des ambulanten Arztfalls,Technische Fall-ID zur Verknüpfung mit Satzart AMBFALL,numerisch,1..11,
164,AMBLEIST,NBSNRPSEUDO,Pseudonym der Nebenbetriebsstätte des behandelnden Arztes,Pseudonym der Nebenbetriebsstätte des behandelnden Arztes,numerisch,12,
165,AMBLEIST,NBSNRKV,Regionalkennzeichen der Nebenbetriebsstätte des behandelnden Arztes,KV-Landes- oder Bezirksstellenschlüssel; regionale Zuordnung in Form des Landes- oder Bezirksstellenschlüssels der Kassenärztlichen Vereinigung,numerisch,2,
166,AMBLEIST,LANRPSEUDO,Pseudonym des behandelnden Arztes,Pseudonym des behandelnden Arztes,numerisch,12,
167,AMBLEIST,LANRFG,Fachgruppe des behandelnden Arztes,Fachgruppenschlüssel; Facharztbezeichnung,numerisch,2,
168,AMBLEIST,GONR,Gebührenordnungsnummer,,alphanum.,1..25,
169,AMBLEIST,GONRDAT,Datum der Gebührenordnungsnummer,Format JJJJMMTT,numerisch,8,
170,AMBLEIST,MULTIPLIKATOR,Anzahl der erbrachten Leistungen je Gebührenordnungsnummer,Dieser Wert gibt die Anzahl der erbrachten Leistungen je Gebührenordnungsnummer wieder.,numerisch,..6,
171,AMBLEIST,AMBLEISTZEIT,Uhrzeit,Format SSMM,alphanum.,4,
172,AMBLEIST,TSVGART,TSVG-Vermittlungs-/Kontakt-Art,,numerisch,1,
173,AMBLEIST,TSVGDAT,TSVG-Datumsangabe,"Nach Feld TSVG-Vermittlungs-/Kontakt-Art wie folgt:
 Falls Feld 10 = 1 oder 2, Datum der Kontaktaufnahme bei der TSS (s. Hinweis 13)
 Falls Feld 10 = 4, Datum des ersten Besuchs einer offenen Sprechstunde in der TSVG-Konstellation im dritten Quartal 2020 (nur im dritten Quartal 2020 anzugeben)
 Format JJJJMMTT",numerisch,8,
174,AMBLEIST,TSVGARZT,TSVG-Arztgruppe,EBM-Kapitel/-Unterabschnitt des für diese Arztgruppe spezifischen EBM-Teils,alphanum.,..6,
175,AMBLEIST,TSVGBSNRPSEUDO,(N)BSNR des Facharztes bei TSVG-Hausarztvermittlung,,numerisch,12,
