VSID,PSID,REZNR,PZNEZD,ZAEHLER,EINHEIT,FAKTOR,FAKTORKENNZEICHEN,BJAHR,DATENMODELL,BNR
8055330,69AA63FC250839D679C0,245416449,35838875,,mg,2,XX,2021,3,3YV5MQJS
8683239,3DA1394A5FA5A528334D,228542790,75070123,,St,2,XX,2021,3,W76GDCOF
4148686,BE593771C0374E3DE079,104842163,76635944,,St,1,XX,2019,3,VCOLP8WN
9087293,279483EA13E5BFF8F0F4,875215470,33303664,,St,2,XX,2023,3,XVMFE52I
7684793,FD8788277A56134815F1,311108671,34153552,,St,1,XX,2023,3,TOBF7RIN
4136867,C2FC2459CABC6BBC7326,459831573,71620314,,St,1,XX,2022,3,MS5SV6W8
6601639,6DECA405EC1B526A1195,942895599,31189207,,mg,2,XX,2022,3,QCM40HU0
4747584,761BB7ADBAFAD13CEC36,920224118,72265596,,mg,3,XX,2021,3,6TBL5MOJ
8749909,897D778F2B41DD508380,348743224,38905050,,mg,2,XX,2021,3,JANW3YU6
8160718,61040981349CA32FEF0A,440007261,37676128,,St,3,XX,2022,3,911NVEKY
8596296,9905FC0252388DE43DCD,800520867,72596810,,St,1,XX,2021,3,EBAT3IM2
1121312,4E9DA612DDF8103F02FE,386885653,72524797,,St,1,XX,2023,3,N1J2B1MG
1795162,F07BF30BDB3339B03515,166301420,72828127,,mg,1,XX,2022,3,IL6VI9TI
4216612,1196237330DE34A9CEE9,103539922,79815067,,mg,4,XX,2022,3,LQW69CB6
1841331,5624C0E7F4798F30BA4F,869017112,74233902,,St,2,XX,2022,3,PZPXGE5D
5368268,139354A3183959C4FF7F,455762826,32879897,,mg,2,XX,2020,3,PC5ERDKW
2598977,8BA0624E5A8DCD15A7A4,656755498,76179759,,St,1,XX,2020,3,EZJFH0ZX
1122402,4AE89F0298AC0A2056BA,276946922,71769847,,mg,3,XX,2023,3,T65FL1TH
7621245,4FB651E614F9064A8415,749589497,75132339,,St,1,XX,2023,3,BC1L2P9S
4958978,B2DFAF7E15C6645D4781,632846292,32194478,,mg,2,XX,2023,3,HQDAX7AC
5430253,51EB04732FF554BEAD9A,842880431,34830022,,mg,1,XX,2023,3,AQDNLAWT
9264736,442261A02F971B4664F9,847263522,75500030,1,St,3,XX,2021,3,2A5QA371
6264590,98291A0E5A1864427817,982090501,74994728,,mg,1,XX,2020,3,KPY4EW3G
1674471,313CF069038E2D921000,491194059,75426827,,St,1,XX,2023,3,OCRAJ8WT
9813091,617CB3C48B9FBF22BF48,531014458,73693396,,mg,1,XX,2019,3,NYEIXTMR
1631431,44BFFA1EFF40E8711C82,891898425,75188490,,St,2,XX,2023,3,O9SE1509
7596622,6C4B29279FE41C4722AD,684299651,31917291,,St,1,XX,2022,3,NTSZYNFO
9712029,6588FDEF38EC7B1C19D7,796158962,79290635,,ml,1,XX,2023,3,LV7H9736
4343908,C3938F7AE0A03C37789A,930970221,74597084,,mg,1,XX,2021,3,6NICY8BK
6960667,95F4EC768CCBF6B4F116,383088869,39464733,,St,1,XX,2019,3,TGIV3TW8
9734953,D1482A7E64F8E9AB50A4,620014220,38861330,,St,1,XX,2021,3,KI87KUUF
4721648,001C8F308DAFDD242396,458915976,31887230,,St,2,XX,2022,3,UMQ3OYDD
6538617,B4EA6D2915795F1ADA36,535484711,31178990,,St,4,XX,2021,3,T11C9XNK
8683239,3DA1394A5FA5A528334D,228542790,38698334,,St,2,XX,2021,3,W76GDCOF
6272399,DDC37A0F612779F371C6,379680116,78988758,2,mg,1,XX,2021,3,VJ8FK83C
6888641,150260B6840B6E880A07,521387065,35278903,,g,1,XX,2020,3,9KPYJHUF
7858801,ACD8882B726F41C942B2,639957668,39928325,,St,1,XX,2023,3,5XNQ5UA8
3574657,FCAFFB9D4D90C6D2E085,484994549,36000851,,mg,2,XX,2021,3,53A4X8IH
8303242,599134CF2FBFCC0FEC6E,440386351,74847718,,St,2,XX,2021,3,X1GSZA5U
5178479,EE3307CA517ADFCD2F5F,374007576,36373643,,St,1,XX,2021,3,EZLUSZT8
9154286,FE2C2F42102D6F786DD5,404256510,36759513,,St,3,XX,2022,3,H4EP0OTI
7302275,39CC863EFF5A63903F53,634436055,78549308,,St,1,XX,2020,3,LECPAEH5
4747584,761BB7ADBAFAD13CEC36,920224118,33059804,,mg,1,XX,2021,3,6TBL5MOJ
6973750,938DFAD53A3AE2057DE8,588371850,36277740,,St,3,XX,2021,3,IKSW3D1J
7996557,D70B1D4EC4FC8DE08237,326355239,72975750,,St,1,XX,2022,3,BUC47HOR
8657801,5954DC63CC80BE6E6D77,652339794,77030506,,St,2,XX,2021,3,24P1KOIY
4506719,D804FE498E8932D22721,549401529,34937466,,mg,1,XX,2021,3,5EZHDMLO
2245884,B7EB2D5ECE08C503A59C,821317627,76835520,,St,1,XX,2022,3,ZRD1M1R6
4263899,280C861CDC9EC2D85630,657528358,31919583,,St,4,XX,2021,3,B0XL4266
2841795,F92D14406F866BBEE033,447737627,78734472,,St,2,XX,2019,3,LDPTI481
8171372,8F976DE20E91E5490D00,639906071,79953818,2,St,1,XX,2022,3,57OU96LN
8254945,FBF2BB5D71ADA6AD4CB9,489592741,78574145,,mg,2,XX,2019,3,9HN66IFK
9789333,D9BC0FD09653F37DFAF7,139209756,75497715,,ml,1,XX,2022,3,VCLIW6WO
6997036,8C4656500F895232E850,945344513,32722028,,mg,2,XX,2022,3,0WJYT9Z8
5466592,CE35C6B16AC3CB89214F,309013159,37788459,,mg,1,XX,2020,3,E0VLNOPL
5433412,60A73C4CAAB8F0C99FE6,954618546,33542748,,St,1,XX,2022,3,2AVLV8UJ
8035824,FD699C1B2AEA8C9D25FD,916602247,37596111,2,mg,4,XX,2022,3,DXYOEZDB
8035824,FD699C1B2AEA8C9D25FD,295347745,38652593,,St,2,XX,2022,3,DXYOEZDB
9002470,EBC0B30A39156E5C6BA9,566995099,79521263,,St,2,XX,2021,3,3DQ46RFK
8823526,A5A63C3F7EEA6D6FF09F,253529986,71155966,,St,1,XX,2022,3,GZ3WKNYV
6943620,DFCCE50F470E4AA0DFE1,848450447,78477250,,St,2,XX,2023,3,SROXES29
3741293,161D2D8B51A69E219AD1,840768310,77713946,,St,2,XX,2021,3,JO21J2HM
5494479,4D7F9F32115BB62CE56D,773282818,31851409,,St,1,XX,2022,3,5FT1ICB3
9087293,279483EA13E5BFF8F0F4,590807728,77833068,2,mg,1,XX,2023,3,XVMFE52I
4519815,7866038949BA62BF66CC,285221390,35060222,,St,4,XX,2020,3,5R8RQMNW
7848834,4AD6A7EF09B10A9264EE,124448053,36884768,,mg,1,XX,2022,3,M5YBJA82
9577163,297C69DE0E80FE8A718D,416697663,34855850,,mg,1,XX,2021,3,AZODPJ0E
5265965,0A70CC7CFFA1001B124B,732795031,74218174,,mg,2,XX,2019,3,8WZND7EV
7658640,BFBC88BED5B52BFE40DD,139580662,75137077,,g,2,XX,2020,3,I8XI0TCC
5635610,E1A6A458FCCFBF5D16EF,999776183,73647476,,St,1,XX,2019,3,AP83O1QB
9825258,6970877CD48FAFFA5B93,989674538,37642205,,St,1,XX,2023,3,X1F942H2
3380560,5001A6F7C8271245EC95,560039750,78548481,,St,2,XX,2023,3,9YBOPPW4
7611947,EF95003C0752C6DD5D1A,404119853,37797238,,St,2,XX,2023,3,LXD2XYUK
2105777,DB66BA373B68A64796E9,904474865,72942998,,St,1,XX,2023,3,NUP5L019
9315483,AD4A3DB8E48D3CB99D3F,406508022,36939241,,St,2,XX,2020,3,HNQ30KGS
1122518,D2B555133925D9333545,237553194,72664839,,St,2,XX,2023,3,SRWGIQ04
9401535,BC13B83CE325A14F735A,318428216,32318894,,St,2,XX,2022,3,ZJ7KSNN8
2027181,E4F2B0C81C625CE1DB8B,598703298,72664384,,St,1,XX,2023,3,R0K622XJ
4067579,CEFA40861AE772801EB7,661238482,71743954,,St,2,XX,2023,3,C5T8IHV6
9087293,279483EA13E5BFF8F0F4,875215470,75356132,,mg,1,XX,2023,3,XVMFE52I
1230115,B9A4E01CFBF5E337AEAC,638622397,72190616,,mc,2,XX,2021,3,6I7XIBK0
6538617,B4EA6D2915795F1ADA36,606835154,37878780,,ml,3,XX,2021,3,T11C9XNK
2726680,51D3EBF72551DB32632B,260723736,77158199,,St,3,XX,2019,3,O9HX4OPX
2841795,F92D14406F866BBEE033,447737627,79448282,,mg,1,XX,2019,3,LDPTI481
5425732,E3B7F1F4C4DF08CBC844,229294436,38044727,,ml,1,XX,2022,3,JCN4PEKS
9813091,617CB3C48B9FBF22BF48,531014458,34559681,,St,2,XX,2019,3,NYEIXTMR
6850211,322B66089D01BE25B7DB,403313248,75348659,,St,1,XX,2021,3,UPR4EQ9I
2993223,565C065919F51FBE8581,538639002,38621193,,St,1,XX,2022,3,9UWERK52
7498020,731569C1E69057F6E00D,498863833,39985552,,mg,1,XX,2023,3,C3OEC5D2
4486620,86AA2AF0DE94D6D886B7,635637407,31068577,,mg,4,XX,2023,3,P2RTUTHM
2743925,2FD5586BAB9C4537291C,995829203,38046875,,mg,1,XX,2020,3,BXYIEWCP
7079851,5FA2ED8FE6938BCAFF79,185004134,75540383,,mg,3,XX,2023,3,I0Q0H989
7400222,16A53DED570A73349FB8,194764001,74465733,,mg,2,XX,2019,3,31N1W5W7
7086202,496EB1E0FC9963810A7D,771399528,76724800,1,St,4,XX,2023,3,N53HS9KS
8559812,BC64DD5E7E2AC4A2E323,651311565,71070836,,St,2,XX,2022,3,KWELZ3G7
6850211,322B66089D01BE25B7DB,448408075,79860515,1,St,2,XX,2021,3,UPR4EQ9I
9019738,A6B5FE14E33BBFF891FE,996440375,75540526,1,St,1,XX,2022,3,XCAG07E1
4909777,2B250A1660331DFCBD02,584656556,77928039,,St,2,XX,2021,3,ZPT02RIZ
7360683,CCECA6B81CF31F79FF2A,236352557,34221264,,St,1,XX,2021,3,1B0GZSDU
3147857,D726591D226AA00D59D3,143739748,76365291,,St,4,XX,2022,3,WD3LKXLW
6518882,CA7285EC7D19B212414A,394879049,36551226,,St,1,XX,2021,3,PEAPHLQE
1795162,F07BF30BDB3339B03515,166301420,76179997,,mg,1,XX,2022,3,IL6VI9TI
9227310,B4049525105D5F969E7A,708742318,73047945,,St,1,XX,2023,3,FI7793FV
5635610,E1A6A458FCCFBF5D16EF,302149860,39247037,,mc,1,XX,2019,3,AP83O1QB
8551156,8DC98D3B9B52B99CBDC4,673760887,32316292,,St,2,XX,2022,3,FC3NPM89
2155402,E90D1CA496C7AA5EF2D8,455007667,32458552,,mg,3,XX,2023,3,P3ZEB9WB
8606950,3A69097A8D4DE564DA94,492451612,38997576,,St,2,XX,2021,3,4CZ21E3Q
2049143,10C89C6E8BE9EDA18437,618917401,78921216,,St,1,XX,2022,3,ZNLFGJGH
7106640,B47DCBD7CF761662814A,500335157,73237061,,St,3,XX,2019,3,TZAT9NK6
9281322,50173F27A2EB4E7DEB4C,602113490,31387428,,St,1,XX,2021,3,F9QGZ6S1
2937653,38348A5A194DF4DE5851,236172229,75365155,,mg,4,XX,2021,3,ECDI6NVU
2004464,DE3C1A36CBC2A78F4FD5,387497965,38279903,,St,1,XX,2020,3,Q5VZ04KD
5501797,A330ABECB1C9B18D0FBC,992314800,36064566,,mg,2,XX,2022,3,QWR2R7BM
7753058,CF3A31DCE11D3AD56326,293902815,38109454,,St,1,XX,2021,3,FL5ICFX5
9879553,23FF5A1E1E6A5ED10300,108979927,31127265,,St,2,XX,2021,3,TTR9X8V7
5420561,C83A66D041AC68F9E638,873677491,79054696,,mg,1,XX,2022,3,IPUAFN26
6693762,317F79DF8AE14E7A00D7,655008032,76412828,,St,1,XX,2023,3,3WYRABDG
9505396,7041EFA66FF9733EDE36,141574061,78590963,1,St,2,XX,2022,3,28ZUSGFH
6517756,7DBF1F771E8DB5D62944,384808205,74526718,,St,3,XX,2022,3,OQV7ZMD2
4958959,4B324A7B715615278D7C,595153426,78637343,,mg,4,XX,2022,3,TWU2KW3P
1224185,5C78791160E410825780,847406207,75942830,,mg,1,XX,2019,3,WH1IUOV0
9829091,7A82AB6001B06D63DA6D,587793576,36428362,,St,3,XX,2022,3,NDLDWQNJ
7962042,DED48C0C1E3D508CE24F,847681694,37296121,,St,1,XX,2022,3,HEXZ9YWF
2598977,8BA0624E5A8DCD15A7A4,656755498,74797046,,St,3,XX,2020,3,EZJFH0ZX
6849782,5457EF30F0A32A8C5A1B,215700745,31567226,,St,1,XX,2021,3,AW03N7V2
5722185,8DB1D484249F840DEBE4,456226754,39518605,,St,1,XX,2020,3,45TT9A19
8135018,615A74345EE90926A097,188858919,33570177,,St,1,XX,2022,3,0IPQN9GE
6975566,7AA0DBD68E56E74DDECD,631634656,35900474,,mg,2,XX,2022,3,XKY70SO5
3422246,BA8D4AE8E3112EF9842D,861465141,73737567,,St,3,XX,2023,3,CM51MYIH
7079851,5FA2ED8FE6938BCAFF79,185004134,35497514,,mg,1,XX,2023,3,I0Q0H989
1759450,E9C88C02D4FC5F4648FE,181917289,37256329,,mg,2,XX,2021,3,32HR1FCF
5742288,DA1EFE06C5F55F61F125,356235577,78324379,,St,1,XX,2020,3,OB0XG6FG
2726680,51D3EBF72551DB32632B,260723736,38798678,,St,2,XX,2019,3,O9HX4OPX
7895620,6C64D953FC882B516143,807582447,79297357,,mg,2,XX,2022,3,EJPA5BMH
2619690,2B5592477677A4040256,984640954,39428512,,mg,1,XX,2022,3,KESTSGVK
1099685,8E25DCB76E44D4524148,452338101,35145281,,ml,2,XX,2021,3,7L0UJI6T
4826676,960427912E253F34EEE1,154878726,79552289,,St,2,XX,2020,3,Y5BA5455
7908902,2B9261A790EF160DC08D,608336971,35565082,,St,2,XX,2020,3,NS6D92ZY
4987586,2734C1DB1FD03FA1CA1F,916439338,33133257,,St,3,XX,2022,3,ARRPHZ0W
4228919,FF75091D4E485C348310,496973068,39516934,,St,1,XX,2022,3,DO04T0WA
9734953,D1482A7E64F8E9AB50A4,620014220,77629652,,St,1,XX,2021,3,KI87KUUF
6477499,164062299DB432E9C9C6,175045091,37957329,,mc,2,XX,2021,3,IKP21DSP
2130963,85C0431F07F290B24050,895179005,78528777,,mg,4,XX,2022,3,E87JP4JS
7181197,36E7F010627B33638C38,287368563,78423793,,St,2,XX,2021,3,XZ9F5AKT
1065865,D2A00CFB71E30ACCB4AC,681816614,73820793,,St,2,XX,2022,3,IM5H509I
7030088,55BF7BA76CD7C7606DBC,848358696,74908862,,St,1,XX,2022,3,64LVK0E8
1215420,B8E864786E43ADD59BC5,381125316,76088126,,mg,1,XX,2020,3,3B0X4Q26
6119805,CC961077F7F87C1B9E0D,120081113,77684043,,mg,1,XX,2023,3,44CBR2IP
8303242,599134CF2FBFCC0FEC6E,440386351,31521241,,St,3,XX,2021,3,X1GSZA5U
4194387,083311E063E5E124C245,384144388,39109281,,St,4,XX,2020,3,UCWBPGGM
7698938,735902F89608FE6F6E9C,954392783,79087076,,St,2,XX,2023,3,MPBYQH99
6417698,482211E2C1E80851CB2E,105071067,71663254,,St,2,XX,2021,3,5O2ENMGP
8657801,5954DC63CC80BE6E6D77,652339794,73780960,,St,4,XX,2021,3,24P1KOIY
8109501,B55674EEDBE0199BE769,811845025,34411529,,St,4,XX,2023,3,ITLGPUN5
3574657,FCAFFB9D4D90C6D2E085,484994549,34365674,,mc,3,XX,2021,3,53A4X8IH
3253107,7A6B6380343437D5EE79,991531993,76327471,,St,4,XX,2023,3,O5B5IJ1V
9708389,18123A3EE1DC116E8477,390430695,77944613,,St,1,XX,2022,3,TWP0L7ZH
6340211,37CD804B5A3E7128CFBE,128414261,79924940,,St,1,XX,2022,3,YAD39PIW
9133718,03BCB4C3372B085C75C9,743400402,33895375,,St,1,XX,2022,3,KFOB723Y
4265726,19AE08B1F1C5AF61BC2E,603137030,77150483,,St,4,XX,2023,3,CA6TAOKE
7331503,2748E032F71555803995,334919244,36180314,,mg,3,XX,2019,3,4G2CBQBQ
7311014,E90FDB705DA8DC5BF52D,392228003,74090798,,mg,1,XX,2022,3,EBO1C2MG
4153525,C4F1FF9C5CF4B8580E91,854402856,34951994,,mg,4,XX,2021,3,UG2E0S6S
3648020,1653D2BABEC5DA5E4692,810105265,36646818,,St,4,XX,2019,3,YON58RGU
1086969,171190A0E3FE83E59DE1,787547856,71342565,,St,3,XX,2020,3,PUZCM8KM
9789333,D9BC0FD09653F37DFAF7,214195605,78521363,,mg,3,XX,2022,3,VCLIW6WO
2835958,F368AF15173BA5BAFBE6,908567336,32906264,,mg,1,XX,2019,3,SUBF3BFG
3688137,0D90E0C26C0808F4EE13,979842934,34497854,,mg,1,XX,2023,3,QPX7JK12
2057184,D4CDCDB234028AA84D92,480026931,36844347,,ml,1,XX,2022,3,59RX89R4
6518882,CA7285EC7D19B212414A,968035412,36263776,,St,4,XX,2021,3,PEAPHLQE
9450810,0006BC719BFAF3C1BD20,555359371,32058152,,mg,1,XX,2022,3,VR5HHDXF
6510234,0223CC71EB638D6C0C43,381479568,75962545,,ml,2,XX,2023,3,ADO77M5I
3253107,7A6B6380343437D5EE79,991531993,75384946,,St,1,XX,2023,3,O5B5IJ1V
1731804,271F2FC51A6DD6322BB4,962820598,39604283,,mg,1,XX,2021,3,1PQBPAD5
3639596,9B91BEA834E098B2349E,721570885,38206032,,St,1,XX,2022,3,LLHJN9TK
5395604,363A4E29B4FD519B4689,406318860,77359454,,St,1,XX,2022,3,TO2Y9TW8
8804891,E06D9D51D1C33EAF66B0,149623838,74880726,,St,1,XX,2019,3,6354XHR5
5494479,4D7F9F32115BB62CE56D,787719049,32482618,,mg,1,XX,2022,3,5FT1ICB3
7311014,E90FDB705DA8DC5BF52D,392228003,37386073,,St,4,XX,2022,3,EBO1C2MG
4136867,C2FC2459CABC6BBC7326,216918975,38620652,,mg,1,XX,2022,3,MS5SV6W8
2356987,C701AB0F54A458A2B8E5,214889243,76355800,,mg,3,XX,2022,3,U75ZMFJB
2626103,D0F69B1D5A1506313417,986107923,78824010,,St,1,XX,2022,3,PIE7A68D
5774227,BC1C82EC8082B0E163F7,111791688,74288906,,St,2,XX,2023,3,C7IWVO0U
2862823,A5BA80AA560FA270A5CB,306701964,76476843,,mg,1,XX,2023,3,PLU6I788
1667208,F7A4C615AB0D91FC27FB,588615487,38875306,,St,3,XX,2022,3,BMUPSX2L
3339405,E5057391CFF05A4A415D,134813898,75302368,,St,2,XX,2023,3,W3FZKO2Z
1916151,FF4C7FE22057355CA62C,713166548,79464247,,mg,2,XX,2022,3,LCH8C0DR
1397711,A62EBCF766646CFD1256,812860024,32947983,,ml,1,XX,2023,3,VXMZFS4V
5635610,E1A6A458FCCFBF5D16EF,981167788,39507845,,St,1,XX,2019,3,AP83O1QB
5635610,E1A6A458FCCFBF5D16EF,302149860,39058524,2,mg,1,XX,2019,3,AP83O1QB
2027074,215909E836B35680FDD0,283199451,78886673,,mg,1,XX,2022,3,LA2PUZD7
1674471,313CF069038E2D921000,491194059,72403446,,St,2,XX,2023,3,OCRAJ8WT
6593613,0B62894549283923F450,874959834,77707069,,St,3,XX,2022,3,022U2FEA
6024022,27276BFDB274B52CCDA1,303612890,38353427,,St,1,XX,2023,3,Q9XCZF0M
1717235,0E51857EA18274626F32,920506811,35546292,,mg,1,XX,2022,3,LVRZ4EE0
4958978,B2DFAF7E15C6645D4781,474931205,33985226,,mg,1,XX,2023,3,HQDAX7AC
3540755,0DA640087F5A416B17B0,591273289,35626992,,St,1,XX,2019,3,N6K7X6KB
3433248,23FEC02D28926B6EAC63,886875383,33213645,,ml,1,XX,2021,3,8XW1DG39
7181197,36E7F010627B33638C38,918528831,74214111,,St,4,XX,2021,3,XZ9F5AKT
9396626,2C20EB385C7F1C6392D8,196962285,73024570,,St,2,XX,2023,3,DCR3D4F6
2981708,A3AC742B93FBAF547BC1,121023274,77192260,,ml,4,XX,2022,3,SZ2OHFKG
7908902,2B9261A790EF160DC08D,488659951,75754483,,St,4,XX,2020,3,NS6D92ZY
2276278,7F558E4C3836AF05CD65,445098385,35480199,,mg,1,XX,2023,3,7W3AQNEA
8499833,B0AC059A3C7D01BE5CE0,626326631,75514244,,mg,1,XX,2021,3,9FN4U4IL
6579221,64B21B59A01C4418E7D5,314111478,38501524,,St,1,XX,2023,3,HKQOKVRL
7305740,40953EFF0DD734949A67,766249026,34594055,,mg,2,XX,2022,3,R1Q7A96N
4506719,D804FE498E8932D22721,156024153,72010465,,g,2,XX,2021,3,5EZHDMLO
6601639,6DECA405EC1B526A1195,942895599,34578307,,mg,2,XX,2022,3,QCM40HU0
6439956,07C2510BDA994D73D8E9,684561147,75204936,,mg,1,XX,2022,3,YITG544S
7611947,EF95003C0752C6DD5D1A,970936773,37150730,,St,1,XX,2023,3,LXD2XYUK
1122518,D2B555133925D9333545,178986303,35781860,,mg,4,XX,2023,3,SRWGIQ04
5785826,9510317E0ECE2A1D9918,791245933,77610016,,ml,3,XX,2023,3,JMPCBY6U
1230115,B9A4E01CFBF5E337AEAC,638622397,33349267,,St,2,XX,2021,3,6I7XIBK0
1340626,0F81BE49017178EF25B2,572310970,79504144,,St,1,XX,2022,3,7BQREO8G
4332148,78CA71F9A5D9E1CDB8F6,156431269,38882270,,St,2,XX,2022,3,QFZ12JY0
3741293,161D2D8B51A69E219AD1,840768310,37153701,,St,2,XX,2021,3,JO21J2HM
1084946,2813C8990FE1293923F6,946952346,78794055,,St,3,XX,2022,3,R5HG7IH9
1700389,001B91BCE9032C6972AC,217432508,74328355,,mg,2,XX,2021,3,IEAMLC98
1093493,8FA0C1F264548FD36366,933146534,35546816,,St,1,XX,2023,3,BY5TZR4V
2711604,3C66DF36F991745009A5,941977788,77428605,,g,2,XX,2023,3,1LVUB6TI
1384260,A938DBFDA0537603F785,104320025,37365440,1,St,1,XX,2019,3,79VR7GSF
2932633,F9A29B7FC6D6BDBB86B0,574782390,76926773,,mg,1,XX,2022,3,TQ7FKYVF
1795091,D34E61B8681FA66E5DAB,290990795,35561335,,St,2,XX,2019,3,QATOGKDS
8594334,D1C896D5CE8878999F67,752994237,75697220,,St,3,XX,2023,3,R99PUOSB
5358485,2FDE03F47447FAF127BC,862111016,77064114,,St,1,XX,2022,3,78TA4HN3
9356358,CDA18D32A81887E4EFFD,652657083,71378224,,St,1,XX,2019,3,JTENNWLF
1141312,59FF2E1D3AD28EA210DD,534286035,71057394,,St,1,XX,2022,3,52I575Y9
5742288,DA1EFE06C5F55F61F125,841917220,37717879,,St,1,XX,2020,3,OB0XG6FG
2163057,F66066AC94A8BC09D433,992972512,36123491,,St,2,XX,2021,3,EPSNZ8YE
1086969,171190A0E3FE83E59DE1,370838092,72670330,,St,2,XX,2020,3,PUZCM8KM
6521785,40406180DDD1C1E61086,801326077,78682344,,mg,3,XX,2022,3,Z65CAEDS
6574858,E3A95B334D7F42110FC7,504888401,71418502,,St,1,XX,2021,3,5HI38D4H
4801801,3E31FE0F4E2D07B71737,925611960,71043252,,mg,1,XX,2022,3,4AG9DHEY
7537073,247E20F6C10A73373769,754230439,78552908,,St,1,XX,2021,3,CLZ2E61G
1999810,91829F6D69EC8E447E40,520742375,73569209,,mg,1,XX,2022,3,M889HCPP
5756461,43DFB19FD7489380B2DB,673577981,76058711,,St,1,XX,2022,3,4UMTZAMB
3765289,68F0F92D1942CBD32F62,327151908,78288367,,St,2,XX,2022,3,C4WHICCY
7106640,B47DCBD7CF761662814A,500335157,76422452,,St,1,XX,2019,3,TZAT9NK6
8642977,01DC826E10FD575E2AC5,647478413,35397104,,mg,2,XX,2023,3,HMVESWGB
7684899,C272DC35FC920DE8EDE8,152371823,34871810,,St,1,XX,2023,3,UJ24JP0X
1065865,D2A00CFB71E30ACCB4AC,473641805,36437459,,St,2,XX,2022,3,IM5H509I
2643618,A2E34AD8DC1DFB6C23F0,669440061,72291877,,g,1,XX,2022,3,3STJXA22
5643725,D68CB0188D853A18EC8F,526515577,72272083,,mg,4,XX,2023,3,V1UGOOZI
8035824,FD699C1B2AEA8C9D25FD,656244230,39036459,,St,1,XX,2022,3,DXYOEZDB
